SKU,Title,PermalinkUrl,CategoryName,RetailPrice,SellPrice,ShipingPrice,CostPrice,LikePrice,ShortDescription,LongDescription,Stock,Weight,Image Src,FileName_1,FileName_2,FileName_3,YouTubeUrl,IsActive,IsVatFree,MoreCategories,FilterData,InternalSKU
TVZ5806TTD,Circuserer - вакуумная машина,CircuSealer-–-מכונת-וואקום-בייתית,Вакуумные машины,380,0,0,,,"** Со временем сохранить свежесть пищи с помощью домашней вакуумной машины Circuseale. Идеально подходит для герметизации мяса, овощей, фруктов и многого другого. Легкий в использовании, включает в себя годовую гарантию и доставку на дом. **","🧊 מכונת וואקום ביתית CircuSealer &ndash; שימור מזון מקצועי בבית<br /><br />מכונת הוואקום CircuSealer היא הפתרון האידיאלי לשימור מזון טרי לאורך זמן.&nbsp; באמצעות שאיבת אוויר ואיטום בשקיות ייעודיות, היא מסייעת במניעת כוויות קור, שמירה על טריות המזון והפחתת ריחות לא נעימים.&nbsp;<br /><br />✅ יתרונות המוצר:<br /><br />שימוש פשוט ונוח: הניחו את שולי השקית במכונה, סגרו בלחיצה ולחצו על כפתור ההפעלה. המכונה תשאב את האוויר ותאטום את השקית בפס הלחמה.<br /><br />שימור מגוון רחב של מזון: מתאימה לאיטום בשרים, ירקות, פירות, ממתקים ועוד.<br /><br />חיסכון במקום ובעלויות: אחסון קומפקטי במקפיא או במקרר, הפחתת בזבוז מזון וחיסכון כלכלי לאורך זמן.<br /><br />אחריות: 12 חודשים על ידי היבואן הרשמי EatMeat.&nbsp;<br /><br /><br />📦 מפרט טכני:<br /><br />דגם: CircuSealer<br /><br />מחיר: 380 ₪<br /><br />אחריות: 12 חודשים<br /><br />משלוח: עד 14 ימי עסקים<br /><br />יבואן רשמי: EatMeat&nbsp;",,0.0,https://cdna.wobily.com/images/9ba5af43-db52-42d0-89d1-48585cd4b983.jpg,,,,,True,False,Пешеходная вида и залы;,,
27H2UPGL0X,"Переплет на основе цитрата, Posem Slave 100 граммов",ביינדר-על-בסיס-ציטראט-תחליף-פוספט,Пищевые добавки,25,0,0,52.55,,в,"קיבלתי חומר תחליף פוספט שמכיל ציטראט, אבקת חלבון סויה, ועמילן מעובד. מצוין לשימוש במטבח להכנת נקניקים מבושלים ונקניקיות. ציטראט הוא מלח או אסטר של חומצה לימונית. הוא מופק בדרך כלל מחומצה לימונית, שהיא טבעית ונמצאת בפירות הדר כמו לימונים ותפוזים. ציטראט משמש לעיתים קרובות כתוסף מזון, במיוחד לשיפור טעם או כתחליף לפוספטים.מינון 20 גר ל-1 ק""ג מסה",0.0,1.0,https://cdna.wobily.com/images/b1f8d97b-eb43-4e03-8cd5-d8f3d9fab665.jpg,,,,,True,False,Соли и кино;,,
J8YQOW7W5Q,Желатиновая говядина Assessk 240 Blum 200 Группа,ג-לטין-בקר-אספיק-240-בלום-200-גר,Производительность в этом месяце,50,40,0,,,в,"ג'לטין בקר 240 בלום: מה זה ולמה זה חשוב? 🧐מחפשים מרכיב איכותי למתכונים שלכם? ג'לטין בקר 240 בלום הוא התשובה! 💪מה זה?** ג'לטין איכותי שמקורו מבקר, עם חוזק מצוין (240 בלום!).למה זה טוב?** מעולה למגוון שימושים: ג'לי, קינוחים, מרשמלו ועוד! 🍮היתרונות?** משפר מרקם, מסמיך ומייצב את המזון שלכם. 👍רוצים מתכונים מושלמים? ג'לטין בקר 240 בלום הוא הבחירה הנכונה! ✨ ",,0.0,https://cdna.wobily.com/images/7386e505-712c-4c51-bc30-3bbee69f63b3.jpg,,,,,True,False,в,,
CCTBRVMZC7,Doned Vacum Galilee для еды 28x500 см.,גליל-שקיות-ואקום-למזון-28-500-ס”מ,Сью-Вуд и залы,40,0,0,21.0,0.0,Сдвинули вакуумные сумки для сохранения и приготовления в пеленаре. Сумки предназначены для всех видов домашних вакуумных машин. Сумки соответствуют стандарту израильского института стандартов и уверены в еде.,גלילים של שקיות ואקום מחורצות לשימור ובישול מזון בסו-ויד. השקיות מיועדות לכל סוגי המכונות הוואקום הבייתיות.<br />&nbsp;השקיות עומדות בדרישות התקן של המכון התקנים הישראלי ובטוחות לישמוש עם מזון.,28.0,0.0,https://cdna.wobily.com/images/d2a30f2c-6d62-4b5e-b372-6bdbb4d9177e.jpg,,,,,True,False,SLOP -Vacuum мешков;,,
B0PEDUX09T,Сильная ваion Галилея 22 × 1000 см,גליל-שקיות-ואקום-מחורצות-22×1000-סמ,Слот -вакуумные сумки,65,0,0,31.0,,в,גלילים של שקיות ואקום מחורצות לשימור ובישול מזון בסו-ויד. השקיות מיועדות לכל סוגי המכונות הוואקום הבייתיות. השקיות עומדות בדרישות התקן של המכון התקנים הישראלי ובטוחות לישמוש עם מזון.,0.0,0.0,https://cdna.wobily.com/images/5cc7101e-e64b-45a8-995d-8de8c69cddb0.jpg,,,,,False,False,в,,
BXWL72YOSW,Сухая кровь 1 кг,דם-יבש-1-קג,Пищевые добавки,250,0,0,120.0,,в,"דם יבש, אלבומין של הדם.",4.0,1.0,https://cdna.wobily.com/images/254c5488-fe09-47df-ae55-19dff9bafebc.jpg,https://cdna.wobily.com/images/cb9f46bb-71b1-4190-a367-7a3ebf83c931.jpg,,,,True,False,дисперсия;,,
7P93OD912I,Оценка уляя,הערכה-למסווד,Сью предприятия,305,0,0,,,в,"הערכה המושלמת למסווד, כל האביזרים שצריך לבישול בסו ויד בערכה אחת במחיר משתלם<div>&nbsp;</div><div>מיכל לבישול 11 ליטר כולל מכסה ייעודי עם חור לסו ויד</div><div>רשת נגד ציפה מפלדת אל חלד</div><div>2 גלילי שקיות ואקום 20*500</div><div>&nbsp;</div>",,0.0,https://cdna.wobily.com/images/439d109b-adc6-4391-be08-2ee8be2c971b.jpg,,,,,True,False,Пешеходная вида и залы;,,
BC4IQOTNLKNCZVP,"Нить, которая демонстрирует",חוט-שפגט,Вспомогательные продукты,15,0,0,0.0,,240 метров,,,,https://cdna.wobily.com/images/056d363b-bc07-43e8-baf4-1d7e6ffe2fe5.jpg,,,,,True,False,в,,
JL34G7VG1J,Смесь специй для цилолического саламса - с тонким ароматом пива! 200 жизней,טירולי-200-גר,Специи,40,0,0,17.0,,"Смесь специй для цилолического саламса - классическая приправа натуральных сушильных призовов, с нежным пивным ароматом и богатым европейским вкусом. Идеально подходит для домашней подготовки. 100% натуральный.","מחפשים תיבול מושלם לנקניקים בייבוש? תערובת &quot;סלאמי טירולי&quot; שלנו נועדה בדיוק לכך &ndash; שילוב קלאסי של תבלינים מסורתיים עם נגיעה עדינה של ארומת בירה, שנותנת לנקניק עומק וטעם אירופאי אמיתי.<div>&nbsp;</div><div>יתרונות התבלין:</div><div>&nbsp;</div><div>מתכון ייחודי עם ניחוח בירה קל</div><div>&nbsp;</div><div>מתאים במיוחד לנקניקים בסגנון יבש</div><div>&nbsp;</div><div>תוצאה עשירה ובעלת אופי אותנטי</div><div>&nbsp;</div><div>&nbsp;</div><div>מומלץ ל: סלאמי טירולי, נקניקים ביתיים מיובוש חובבי טעמים מיוחדים.</div><div>מינון מומלץ: 10 גר ל-1 ק&quot;ג בשר</div><div>&nbsp;</div>",,0.0,https://cdna.wobily.com/images/204773d2-428a-49ea-aa9d-456a43c9254e.jpg,,,,,True,False,в,,
9ZGKL5KKGA,Коллагеновые листы 3 метра,יריעות-קולגן,Рукава для хот -догов,60,0,0,,,в,יריעת קולגן 3 מטר אורך 40 ס&#39;&#39;מ רוחב,,0.0,https://cdna.wobily.com/images/92a8a2c1-05af-4b8c-8ca3-f0b57cf712fc.jpg,,,,,True,False,Коллагеновые рукава;,,
LRKGWZV0U4,Качественные перчатки питательной зоны для обработки мяса и приготовления колбас,כפפות-ניטריל-איכותיות-לעיבוד-בשר-והכנת-נקניקים,Продовольственные перчатки,25,0,0,11.0,,в,"כפ&nbsp;ניטריל פות ניטריל איכותיות לעיבוד בשר והכנת נקניקים<br /><br />כפפות ניטריל חד־פעמיות מיועדות במיוחד לעבודה עם בשר &ndash; לטחינה, תיבול, מילוי וקשירה של נקניקים.<br /><br />הן מעניקות הגנה מירבית לידיים, שומרות על היגיינה גבוהה ולא סופגות שומן או ריחות.<br />מתאימות לשימוש ממושך, נוחות במיוחד ולא גורמות לאלרגיה (ללא לטקס).<br /><br />מעולות לשימוש ביתי או מקצועי &ndash; לכל שלב בהכנת נקניקים:<br />מהמטחנה ועד לעישון.",,0.0,https://cdna.wobily.com/images/7794a76a-b03c-4a76-bc6a-012fdaed6e84.jpg,https://cdna.wobily.com/images/f7b60ddc-4461-4b1b-9414-fc08d4a57e6e.jpg,,,,True,False,в,,
WK5YYX8PT2,Quardbard Driver 2 качественные каналы,מדחום-אינקבירד-2-ערוצים-איכותי,Вспомогательные продукты,149,0,0,,,в,"מדחום אינקבירד 2 ערוצים איכותי,&nbsp;<br />מתממשק לטלפון בעזרת בלוטוס לאפליקציה איכותית של החברה.&nbsp;<br />באפליקציה ניתן לנטר זמנים,טמפרטורות שהנתח עבר,<br />להפעיל התראות שהנתח/מעשנה מגיע לטמפרטורה מסוימת וכו&#39;.&nbsp;<br /><span>מדחום אמין ואיכותי מבית ענקית הטכנולוגיה INKBIRD</span><div class=""s3gt_translate_tooltip_mini_box"" id=""s3gt_translate_tooltip_mini"" is_bottom=""true"" is_mini=""true"" style=""background: initial !important; border: initial !important; border-radius: initial !important; border-spacing: initial !important; border-collapse: initial !important; direction: ltr !important; flex-direction: initial !important; font-weight: initial !important; height: initial !important; letter-spacing: initial !important; min-width: initial !important; max-width: initial !important; min-height: initial !important; max-height: initial !important; margin: auto !important; outline: initial !important; padding: initial !important; position: absolute; table-layout: initial !important; text-align: initial !important; text-shadow: initial !important; width: initial !important; word-break: initial !important; word-spacing: initial !important; overflow-wrap: initial !important; box-sizing: initial !important; display: initial !important; color: inherit !important; font-size: 13px !important; font-family: X-LocaleSpecific, sans-serif, Tahoma, Helvetica !important; line-height: 13px !important; vertical-align: top !important; white-space: inherit !important; left: 326px; top: 40px; opacity: 0.4;""><div class=""s3gt_translate_tooltip_mini"" id=""s3gt_translate_tooltip_mini_logo"" title=""Translate selected text"">&nbsp;</div><div class=""s3gt_translate_tooltip_mini"" id=""s3gt_translate_tooltip_mini_sound"" title=""Play"" title_play=""Play"" title_stop=""Stop"">&nbsp;</div><div class=""s3gt_translate_tooltip_mini"" id=""s3gt_translate_tooltip_mini_copy"" title=""Copy text to Clipboard"">&nbsp;</div></div><style media=""print"" type=""text/css"">#s3gt_translate_tooltip_mini { display: none !important; }</style>",5.0,0.01,https://cdna.wobily.com/images/fdce8913-3832-45cb-8fe3-160bcaf67dbf.jpg,,,,,True,False,в,,
JAD71P2QUZ,Контейнер 11 литров для приготовления пищи в Sue Vua + Lid,מיכל-11-ליטר-לבישול-בסו-ויד-מכסה,Лесо аксессуары -,170,0,0,,,в,"מיכל 11 ליטר לבישול בסו ויד<br />עשוי פולי קרבונט ומיועד לעבודה עם טמפרטורות חמות<div>מתאים לרוב מכשירי אנובה, אינקבירד, EatMeat ועוד.</div><div>באישור מכון תקנים</div>",,0.0,https://cdna.wobily.com/images/a99a5d65-65cd-473a-83e2-a672d1d15a81.jpg,,,,,True,False,Пешеходная вида и залы;,,
PE330FLM81,Профессиональная вакуумная машина 510/350/390,מכונת-ואקום-מקצועית-510-350-390,Вакуумные машины,4100,0,0,,,в,"מכונת ואקום מקצועית במידות: 510/350/390 מ&quot;מ, מידת התא: 390/285/55 מ&quot;מ, הספק משאבה: 320W, הספק מנוע משאבה: 180W, אורך מוט האיטום: 260 מ&quot;מ, רוחב סרגל האיטום: 10 מ&quot;מ עם תא ואקום לשמירה על טריות מקסימלית ואופטימלית והארכת זמן האחסון עד פי 8 מאחסון רגיל! אידיאלי לבשר, דגים, פירות וירקות",,0.0,https://cdna.wobily.com/images/9305d2dd-8757-4a61-9132-2718dcc8dc66.jpg,,,,,True,False,Пешеходная вида и залы;,,
JA2GT9ERNA,59x25x42 см 59x25x42 колбаса,מכשיר-לחימום-נקניקיות-5-רולים-59X25X42-סמ,Устройства для нагрева колбасы,840,0,0,,,в,"מכשיר מסתובב להכנת נקניקיות – 5 גלגלים מידות : ס""מ , הספק : 0.96KW ,מכונת הנקניקיות שלנו שומרת על חום הנקניקיה ומפזרות את החום באופן שווה בין כל הרולים.הרולים של מכונת הנקניקיות נמצאים כל הזמן בתנועה ובאפשרותכם לווסט את החום לבישול או שמירה על חום.המכשיר כולל כיסוי זכוכית",,0.0,https://cdna.wobily.com/images/3c519146-5f71-408e-9d67-b6133f477cae.jpg,,,,,True,False,в,,
5XOXPUPH8EODT3E,Машины пополнения ручной колбасы,מכשיר-למילוי-נקניק-האקה_CK6JKYJ3FC1ONFR,Senannocal Preparation Equipment,740,0,65,0.0,,Профессиональное устройство для колбасы продукта сильное и адаптировано к использованию профессиональной кухни.,"מכשיר מקצועי למילוי נקניקיות נפח: 3, 5 ו-7 ליטר המוצר חזק ומותאם לשימוש במטבח המקצועי. מכונה ידנית למילוי נקניקיות באופן מהיר ואחיד , עשויה נירוסטה איכותית. להכנת סוגים שונים של נקניקיות או קבבים באמצעות ארבע פיות מילוי מתחלפות (כלולות במארז המכונה) בקוטר 16, 22, 32 ו-38 מ&quot;מ",2.0,10.0,https://cdna.wobily.com/images/583ce87e-afc2-484f-b36a-1b92ac8635a9.jpg,,,,,True,False,Вспомогательные продукты; Колбасные машины;,,
L15AF79MGS,"Соленый раковина #2 Нитрит 0,6% нитрат 0,4% 500 грамм",מלח-כיור-2-ניטריט-0-6-ניטראט-0-4,Пищевые добавки,50,0,0,10.0,,в,"מלח כיור #2במיוחד לנקניקים מוטסים עם קוטר 60 מ""מ ויותרוגם לכל סוגי נקניקים יבשים מנתחים שלמים,  כמו קופה, ברזאולה ו...",,0.0,https://cdna.wobily.com/images/89cdbf97-5f80-4f21-9feb-20c61679a3d2.jpg,,,,,True,False,Соли и кино;,,
ADZQMP20KD57C4Q,"Натрит соль 0,6% - 500 в.",מלח-ניטריט-0-6,Пищевые добавки,40,0,0,6.35,,500G,500 גרם,,0.5,https://cdna.wobily.com/images/f3839b43-bd99-4c3f-989a-f531fdb8a6b4.jpg,,,,,True,False,Соли и кино;,,
MBA9IQGWF3,Нитритная соль 3% - 1 кг,מלח-ניטריט-3-1-קג,Пищевые добавки,120,80,0,,,в,מלח ניטריט ליישון וכבישה בשר תורם לצבע ורוד/אדמדם בבשר. אחוז חומר פעיל 3%,1.0,0.0,https://cdna.wobily.com/images/32041415-4666-45ce-9995-b8a2b1c060b5.jpg,,,,,False,False,Соли и кино;,,
ZUWSDGKOH9,Профессиональный статус для вакуумных сумок,מעמד-מקצועי-לשקיות-וואקום,Лесо аксессуары -,135,0,0,,,в,"מעמד לשקיות וואקום מקצועי מנירוסטה, הפתרון המושלם לכל מס&rsquo;ווד! פתרון מעולה פשוט ונוח להעמיד את כל הנתחים והירקות השונים בצורה אידיאלית מבלי שיצופו, ובכדי לשמור על הסירקולציה במיכל.<br />גובה 16.8 ס&rdquo;מ<div>אורך 19.8 ס&rdquo;מ</div><div>רוחב 16.3 ס&rdquo;מ<br />&nbsp;</div>",,0.0,https://cdna.wobily.com/images/4067133b-1403-437d-b782-ec41d4524878.jpg,https://cdna.wobily.com/images/f49c1ec9-207e-4a5b-8873-acebf3f30251.jpg,,,,True,False,Пешеходная вида и залы;,,
1NUJ2SRZ58,Силиконовые веса против приготовления пищи,משקולות-סיליקון-נגד-ציפה-לבישול,Лесо аксессуары -,89,0,0,,,Покупайте качественные силиконовые веса для приготовления пеленок и домашнего приготовления. Сохраняйте точную и равномерную приготовление пищи. Быстрая доставка во всю страну. Забронируйте сейчас на сайте!,"משקולות סיליקון נגד ציפה לבישול סו-ויד ולבישול רגיל<div>&nbsp;</div><div>משקולות סיליקון לבישול הן הפתרון המושלם לשמירה על תוצאות מדויקות ואחידות בכל שיטת בישול.</div><div>בבישול סו-ויד או בבישול רגיל, מזון נוטה לצוף &ndash; מה שעלול לפגוע באיכות ובאחידות הבישול.</div><div>המשקולות שלנו, עשויות סיליקון איכותי ובטוח למזון, מבטיחות שהמזון יישאר שקוע ומבושל בצורה מושלמת.</div><div>&nbsp;</div><div>יתרונות משקולות סיליקון לבישול:</div><div>&nbsp;</div><div>איכות גבוהה: עשויות סיליקון בדרגת מזון, ללא BPA, עמידות לטמפרטורות של עד 220&deg;C.</div><div>&nbsp;</div><div>עיצוב קומפקטי ונוח: מתאימות לכל סוגי הסירים והמחבתות.</div><div>&nbsp;</div><div>קלות לניקוי: מתאימות לשטיפה במדיח כלים &ndash; לחוויית שימוש נוחה ויעילה.</div><div>&nbsp;</div><div>רב-שימושיות: אידיאליות לבישול ירקות, ביצים, עוף, אורז ועוד מגוון רחב של מאכלים.</div><div>&nbsp;</div><div>&nbsp;</div><div>מפרט טכני:</div><div>&nbsp;</div><div>חומר: סיליקון איכותי בדרגת מזון.</div><div>&nbsp;</div><div>משקל כל יחידה: כ-170 גרם.</div><div>&nbsp;</div><div>מידות: כ 10 ס&quot;מ.</div><div>&nbsp;</div><div>טווח טמפרטורה: עד 220&deg;C.</div><div>&nbsp;</div><div>&nbsp;</div><div>איך להשתמש במשקולות סיליקון?</div><div>&nbsp;</div><div>1. הניחו את משקולת הסיליקון ישירות על המזון בתוך הסיר או השקית.</div><div>2. ודאו שהמשקולת מכסה את שטח הפנים של המזון ומונעת ממנו לצוף.</div><div>3. התחילו לבשל כרגיל &ndash; המשקולת תדאג לשמור על המזון שקוע לאורך כל זמן הבישול.</div><div>&nbsp;</div><div>למה כדאי לרכוש משקולות סיליקון אצלנו?</div><div>&nbsp;</div><div>איכות פרימיום</div><div>&nbsp;</div><div>שירות לקוחות אישי ומהיר</div><div>&nbsp;</div><div>משלוח מהיר לכל הארץ</div><div>&nbsp;</div><div>מחירים משתלמים במיוחד</div><div>&nbsp;</div><div>&nbsp;</div><div>הזמינו עכשיו משקולות סיליקון לבישול סו-ויד ולבישול ביתי, ותהנו מתוצאות מושלמות בכל מנה!</div><div>&nbsp;</div><div>להזמנה לחצו כאן 👇</div>",,0.0,https://cdna.wobily.com/images/8b3efb68-e8e5-4f12-bd2b-637f57a0b4cc.jpg,,,,,True,False,Пешеходная вида и залы;,,
4CTZ835RKQ,E -Weight до 40 кг,משקל-אלקטרוני-עד-40-קג,Вес,380,0,0,,,в,"משקל דיגיטלי עד 40 ק""ג דגם: 209 סוללה נטענת AC/DC כפולה לשימוש/מובנית מבנה מסגרת עם הגנה מוגבלת בלחץ דגם תצוגה: אור LED קיבולת מקסימלית: 40 ק""ג; 200 גרם דקות; e = d = 5g מתח עבודה: 110V/220V זרם עבודה: 500mAh גודל המוצר: 35.5*33*11.5 ס""מ",,0.0,https://cdna.wobily.com/images/c520ea56-495c-4b4e-97ca-19b1367783b4.jpg,,,,,True,False,Вспомогательные продукты;,,
HBK7STXT8N,Цифровая стеклянная поверхность до 5 кг,משקל-דיגיטלי-משטח-זכוכית-עד-5-ק”ג,Вес,81,0,40,,,в,"משקל דיגיטלי מעוצב למטבח כולל צג LCD טווח דיוק של 1 גרם עד 5 ק”ג כיבוי אוטומטי ולחצני מגע נוחים משקל דק, מדויק ונוח לעבודה עשוי זכוכית איכותית עמידה , מידה: 20X14.5 ס’’מ חומר: זכוכית מותג: Roso צבע:  לבן. סדרה: Glaze",,0.0,https://cdna.wobily.com/images/970cf363-20ed-452f-a41b-3f3e5e4831db.jpg,,,,,True,False,в,,
R4L4YCX8LPMLJRB,Вес кармана,משקל-כיס,Вспомогательные продукты,50,0,0,0.0,,До 200 граммов,עד 200 גרם,,,https://cdna.wobily.com/images/d3f42f3f-72a3-4f09-bc30-fb6ecfbcfadc.jpg,,,,,True,False,Веса;,,
4H6TTY7VBRUQ42B,Железное опилки для холодного курения 1 кг,נסורת-לעישון-קר-עץ-אגס,Курение холодно,90,80,0,0.0,,1 кг,עץ אגס גרוס ארומטי לעישון קר<br /><br />משקל: 1 ק&quot;ג,0.0,1.0,https://cdna.wobily.com/images/405092cb-3c88-471a-85ce-d308524538ac.jpg,,,,,False,False,Деревянная чипса для курения;,,
JHW2V7MF2CW3IUY,Персиковой деревянный опилки до холодного курения 1 кг,נסורת-לעישון-קר-עץ-אפרסק,Курение холодно,90,80,0,0.0,,1 кг,עץ אפרסק גרוס ארומטי לעישון קר<br /><br />משקל: 1 ק&quot;ג,5.0,1.0,https://cdna.wobily.com/images/0d7920ae-9110-4636-b240-973069f439ce.jpg,,,,,True,False,Деревянная чипса для курения;,,
FCCRJGH9JPFY42Z,Деревянный опилок Эшора для холодного курения 1 кг,נסורת-לעישון-קר-עץ-אשור,Курение холодно,90,80,0,0.0,,1 кг,עץ אשור גרוס ארומטי לעישון קר<br /><br />משקל: 1 ק&quot;ג,3.0,,https://cdna.wobily.com/images/ddab0639-083a-4f7c-8ef1-729bd54e64df.jpg,,,,,True,False,Деревянная чипса для курения;,,
PVE18TOUYA,Опилки дерева до холодного курения 1 кг,נסורת-עץ-שקדיה-לעישון-קר-1-קג,Курение холодно,90,80,0,43.0,,в,עץ שקדיה גרוס ארומטי לעישון קר<br /><br />משקל: 1 ק&quot;ג,4.0,0.0,https://cdna.wobily.com/images/4f38e71a-76be-4153-848c-30b585490acb.jpg,,,,,True,False,Деревянная чипса для курения;,,
X9ZBKGEDYK,Натрий аритробат 500 c,סודיום-אריטרובט-500-גר,Пищевые добавки,60,0,0,,,в,סודיום אריטרובט 500 ג&quot;ר,22.0,0.5,https://cdna.wobily.com/images/b8fd783b-70fe-422d-a3de-64cfb46f3878.jpg,,,,,True,False,Соли и кино;,,
YWJ6OOY86C,Мощный пеленок из «Eat Meat»,סו-ויד-עוצמתי-מבית-“Eat-Meat”,Сью устройства,630,0,0,,,в,סו-ויד עוצמתי מבית &ldquo;Eat Meat&rdquo;<div>מכשיר סו ויד בייתי מקצועי מבית &ldquo;Eat Meat&rdquo; בעיצוב יוקרתי למיצוי מקסימום מחומרי הגלם.</div><div>&nbsp;</div><div>בעל תו תקן ישראלי.</div><div>1200 וואט.</div><div>ממשק קל ונוח לתפעול.</div><div>בישול כמו במסעדות האהובות .</div><div>תוצאות מושלמות בכל בישול .</div><div>בישול בריא יותר.</div><div>שנה אחריות.</div>,,0.0,https://cdna.wobily.com/images/30e90b0d-2df5-4141-8b86-9d85f3342240.jpg,,,,,True,False,Пешеходная вида и залы;,,
IGVLBEG920,Медленные медленные настраивания посыпают,סטרטרים-אוניברסלי-לנקניקים-ונתחים-שלמים-מותססים,Пищевые добавки,25,0,0,0.0,,в,"תרביות ""Almi 2"" משמשות בתעשיית הבשר לתסיסה איטית והבשלה של נקניקים. הן עוזרות להגיע לפרופיל טעם עמוק ומשפרות את המרקם של המוצר. תרביות אלו מכילות חיידקים מועילים שתורמים לפיתוח הטעם, הארומה ומבטיחים את בטיחות המוצר.",5.0,0.02,https://cdna.wobily.com/images/5000b6bb-e33a-4c55-89ff-b7f446877bcb.jpg,,,,,True,False,Проливы ферментированных Nyncs;,,
V9ZQDB898F,"Медленные пролиты, сидящие наканиким с декстерозой 50 грамм",סטרטרים-איטי-לנקניקים-מותסיסים-עם-תוספת-דקסטרוז-חבילה-50-גר,Пищевые добавки,30,0,0,,,в,"תרביות ""Almi 2"" משמשות בתעשיית הבשר לתסיסה איטית והבשלה של נקניקים. הן עוזרות להגיע לפרופיל טעם עמוק ומשפרות את המרקם של המוצר. תרביות אלו מכילות חיידקים מועילים שתורמים לפיתוח הטעם, הארומה ומבטיחים את בטיחות המוצר.",6.0,0.0,https://cdna.wobily.com/images/78d6b59e-594e-45c1-a4f1-b532cb2034b7.png,,,,,True,False,Проливы ферментированных Nyncs;,,
